2023-04-30 12:34:01 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:34:02 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:34:03 | CPU: 1.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:34:04 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:34:05 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:34:06 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:34:07 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:34:08 | CPU: 1.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:34:09 | CPU: 1.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:34:10 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:34:11 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:34:12 | CPU: 9.8% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
